Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
8500,8987487.382411,477787.3406508,18439.19870277,0,0,0,1.532222570677,1.38956461941,2652793.96015,967084.847133396,5082065.172803,0.005622928703338,0,0,0,0,2.504115273018,0,1.532222570677,1.38956461941,4.480809402646,-2.847799983539,1.442715479114,12.48080940265,-3835.729166495,729.9149909522,0,0,86408.500,2163,0,0,8496.77415218
8600,8987457.008541,478350.0006754,18656.31026248,0,0,0,1.531814703629,1.389350970339,2652866.998796,967157.886261596,5082448.996013,0.005622928702051,0,0,0,0,2.50421255254,0,1.531814703629,1.389350970339,4.48019734314,-2.848207289193,1.442565324407,12.48019734314,-3840.734955024,730.8675608365,0,0,86408.600,2163,0,0,8596.773908548
8700,8987426.594208,478912.6585514,18873.42171966,0,0,0,1.53140780793,1.389137301629,2652940.132695,967231.020643536,5082833.319784,0.005622928700765,0,0,0,0,2.504309962819,0,1.53140780793,1.389137301629,4.479585227376,-2.848613623551,1.442415158876,12.47958522738,-3845.740390562,731.8200635491,0,0,86408.700,2163,0,0,8696.773664598
8800,8987396.139413,479475.3142763,19090.53307313,0,0,0,1.531001880245,1.388923613402,2653013.361839,967304.250271017,5083218.144073,0.005622928699479,0,0,0,0,2.504407503855,0,1.531001880245,1.388923613402,4.478973055698,-2.849018989416,1.442264982612,12.4789730557,-3850.745348311,732.7724753413,0,0,86408.800,2163,0,0,8796.77342033
8900,8987365.644156,480037.9678477,19307.64432165,0,0,0,1.530596917254,1.388709905778,2653086.686221,967377.575135807,5083603.468839,0.005622928698193,0,0,0,0,2.50450517565,0,1.530596917254,1.388709905778,4.478360828454,-2.849423390994,1.442114795703,12.47836082845,-3855.749890059,733.7248079712,0,0,86408.900,2163,0,0,8896.773175744
9000,8987335.108436,480600.6192631,19524.7554641,0,0,0,1.530192915651,1.388496178877,2653160.105831,967450.995229723,5083989.294036,0.005622928696907,0,0,0,0,2.504602978206,0,1.530192915651,1.388496178877,4.477748545985,-2.84982683192,1.441964598239,12.47774854598,-3860.754012746,734.6770608565,0,0,86409.000,2163,0,0,8996.772930841
9100,8987304.532255,481163.26852,19741.86649923,0,0,0,1.529789872146,1.388282432819,2653233.620663,967524.510544503,5084375.619623,0.005622928695621,0,0,0,0,2.504700911524,0,1.529789872146,1.388282432819,4.477136208634,-2.850229314996,1.441814390308,12.47713620863,-3865.757650303,735.6292214245,0,0,86409.100,2163,0,0,9096.772685621
9200,8987273.915611,481725.915616,19958.97742591,0,0,0,1.529387783461,1.388068667723,2653307.230706,967598.121071937,5084762.445555,0.005622928694335,0,0,0,0,2.504798975606,0,1.529387783461,1.388068667723,4.476523816743,-2.850630843127,1.441664171998,12.47652381674,-3870.760919576,736.5813119104,0,0,86409.200,2163,0,0,9196.772440082
9300,8987243.258506,482288.5605486,20176.08824292,0,0,0,1.528986646334,1.387854883706,2653380.935954,967671.826803762,5085149.77179,0.005622928693049,0,0,0,0,2.504897170452,0,1.528986646334,1.387854883706,4.475911370649,-2.851031419399,1.441513943395,12.47591137065,-3875.763703718,737.533310079,0,0,86409.300,2163,0,0,9296.772194226
9400,8987212.56094,482851.2033155,20393.19894909,0,0,0,1.528586457517,1.387641080888,2653454.736399,967745.627731722,5085537.598284,0.005622928691763,0,0,0,0,2.504995496063,0,1.528586457517,1.387641080888,4.475298870691,-2.85143104767,1.441363704589,12.47529887069,-3880.766104894,738.4852353716,0,0,86409.400,2163,0,0,9396.771948053
9500,8987181.822911,483413.8439141,20610.30954321,0,0,0,1.528187213776,1.387427259384,2653528.63203,967819.523847552,5085925.924994,0.005622928690477,0,0,0,0,2.505093952443,0,1.528187213776,1.387427259384,4.474686317206,-2.851829731616,1.441213455666,12.47468631721,-3885.768036233,739.4370712573,0,0,86409.500,2163,0,0,9496.771701562
9600,8987151.044422,483976.4823418,20827.42002408,0,0,0,1.527788911891,1.387213419313,2653602.622842,967893.515142959,5086314.751876,0.005622928689191,0,0,0,0,2.50519253959,0,1.527788911891,1.387213419313,4.474073710529,-2.852227473952,1.441063196711,12.47407371053,-3890.769519759,740.3888219269,0,0,86409.600,2163,0,0,9596.771454754
9700,8987120.225471,484539.1185964,21044.53039056,0,0,0,1.527391548656,1.386999560791,2653676.708824,967967.60160968,5086704.078886,0.005622928687905,0,0,0,0,2.505291257508,0,1.527391548656,1.386999560791,4.473461050993,-2.852624277275,1.440912927813,12.47346105099,-3895.770609308,741.3404976251,0,0,86409.700,2163,0,0,9696.771207628
9800,8987089.366059,485101.7526754,21261.64064144,0,0,0,1.526995120878,1.386785683934,2653750.889969,968041.783239403,5087093.905982,0.005622928686618,0,0,0,0,2.505390106198,0,1.526995120878,1.386785683934,4.47284833893,-2.853020145302,1.440762649056,12.47284833893,-3900.771220454,742.2920822864,0,0,86409.800,2163,0,0,9796.770960185
9900,8987058.466187,485664.3845762,21478.75077549,0,0,0,1.526599625381,1.386571788858,2653825.166269,968116.060023817,5087484.233118,0.005622928685332,0,0,0,0,2.50548908566,0,1.526599625381,1.386571788858,4.472235574672,-2.853415081516,1.440612360527,12.47223557467,-3905.771438847,743.2435922092,0,0,86409.900,2163,0,0,9896.770712424
10000,8987027.525853,486227.0142965,21695.86079161,0,0,0,1.526205058998,1.386357875676,2653899.537715,968190.431954626,5087875.060252,0.005622928684046,0,0,0,0,2.505588195896,0,1.526205058998,1.386357875676,4.471622758549,-2.853809088583,1.44046206231,12.47162275855,-3910.771202085,744.1950155189,0,0,86410.000,2163,0,0,9996.770464346
